"","Project","Owner.s.","Confidence","variable","value"
"293","Ashram MHREO","Commerce Resources Corp.","Measured + Indicated","CREO",0.334742073170732
"294","Ashram Total","Commerce Resources Corp.","Measured + Indicated","CREO",0.334393438140807
"295","Bear Lodge","Rare Element Resources Ltd.","Measured + Indicated","CREO",0.586427171903882
"296","Bokan - Dotson","Ucore Rare Metals Inc.","Measured + Indicated","CREO",0.116
"297","Brockmans","Hastings Rare Metals Limited","Measured + Indicated","CREO",0.0286
"298","Browns Range","Northern Minerals Limited","Measured + Indicated","CREO",0.096939749
"299","Buckton","DNI Metals Inc.","Measured + Indicated","CREO",0.00474
"300","Charley Creek - Cattle Creek ","Crossland Strategic Metals Ltd.","Measured + Indicated","CREO",0.504
"301","Charley Creek - Western Dam ","Crossland Strategic Metals Ltd.","Measured + Indicated","CREO",0.5796
"302","Dubbo Zirconia Project","Alkane Resources Ltd.","Measured + Indicated","CREO",0.14685
"303","Eco Ridge","Pele Mountain Resources Inc.","Measured + Indicated","CREO",0.0256
"304","Elliott Lake Teasdale","Appia Energy Corp.","Measured + Indicated","CREO",0.03100702
"305","Foxtrot","Search Minerals Inc.","Measured + Indicated","CREO",0.1994
"306","Glenover ","Galileo Resources PLC","Measured + Indicated","CREO",0.350847894
"307","Hoidas Lake ","Great Western Minerals  Ltd.","Measured + Indicated","CREO",0.453493684380284
"308","Kipawa","Matamec Explorations Inc.","Measured + Indicated","CREO",0.0723393637087647
"309","Lavergne-Springer","Canada Rare Earth Corp.","Measured + Indicated","CREO",0.208
"310","Lofdal","Namibia Rare Earths Inc.","Measured + Indicated","CREO",0.079
"311","Montviel","Geomega Resources Inc.","Measured + Indicated","CREO",0.2502
"312","Mount Weld CLD","Lynas Corporation Ltd.","Measured + Indicated","CREO",1.92658507246377
"313","Mount Weld Duncan","Lynas Corporation Ltd.","Measured + Indicated","CREO",1.02969
"314","Mrima Hill High Grade","Pacific Wildcat Resources Corp.","Measured + Indicated","CREO",1.0997
"315","Mrima Hill Main","Pacific Wildcat Resources Corp.","Measured + Indicated","CREO",0.725
"316","Nechalacho Basal","Avalon Rare Metals Inc.","Measured + Indicated","CREO",0.345571756341897
"317","Nechalacho Upper","Avalon Rare Metals Inc.","Measured + Indicated","CREO",0.3246
"318","Ngualla","Peak Resources Ltd.","Measured + Indicated","CREO",0.390979382857143
"319","Nolans","Arafura Resources Ltd.","Measured + Indicated","CREO",0.582408735177866
"320","Norra Kärr","Tasman Metals Ltd.","Measured + Indicated","CREO",0.09389
"321","Olserum","Tasman Metals Ltd.","Measured + Indicated","CREO",0.114
"322","Round Top","Texas Rare Earth Resources Corp.","Measured + Indicated","CREO",0.00728187316493105
"323","Sarfartoq","Hudson Resources Inc.","Measured + Indicated","CREO",0.3415
"324","Songwe Hill","Mkango Resources Ltd.","Measured + Indicated","CREO",0.290651443
"325","Steenkampskraal - In Situ","Great Western Minerals  Ltd.","Measured + Indicated","CREO",2.8805366726297
"326","Steenkampskraal - Tailings","Great Western Minerals  Ltd.","Measured + Indicated","CREO",1.375
"327","Strange Lake Enriched","Quest Rare Minerals Ltd.","Measured + Indicated","CREO",0.217
"328","Strange Lake Granite","Quest Rare Minerals Ltd.","Measured + Indicated","CREO",0.148
"329","Tantalus","Tantalus Rare Earths AG","Measured + Indicated","CREO",0.0159306332802185
"330","Xiluvo","Promac Lda.","Measured + Indicated","CREO",0.38
"331","Yangibana ","Hastings Rare Metals Limited","Measured + Indicated","CREO",0.390929767
"332","Zandkopsdrift ","Frontier Rare Earths Ltd.","Measured + Indicated","CREO",0.397588872
"333","Aksu Diamas","AMR Mineral Metal Inc.","Measured + Indicated + Inferred","CREO",0.0112
"334","Araxá","MBAC Fertilizer Corp.","Measured + Indicated + Inferred","CREO",0.611801449275362
"335","Ashram MHREO","Commerce Resources Corp.","Measured + Indicated + Inferred","CREO",0.330462459893048
"336","Ashram Total","Commerce Resources Corp.","Measured + Indicated + Inferred","CREO",0.332457688910303
"337","Bear Lodge","Rare Element Resources Ltd.","Measured + Indicated + Inferred","CREO",0.51806324137931
"338","Bokan - Dotson","Ucore Rare Metals Inc.","Measured + Indicated + Inferred","CREO",0.116404583248834
"339","Brockmans","Hastings Rare Metals Limited","Measured + Indicated + Inferred","CREO",0.0286
"340","Browns Range","Northern Minerals Limited","Measured + Indicated + Inferred","CREO",0.0867891406789298
"341","Buckton","DNI Metals Inc.","Measured + Indicated + Inferred","CREO",0.00487192043378147
"342","Buckton South","DNI Metals Inc.","Measured + Indicated + Inferred","CREO",0.00484
"343","Charley Creek - Cattle Creek ","Crossland Strategic Metals Ltd.","Measured + Indicated + Inferred","CREO",0.515595688940474
"344","Charley Creek - Western Dam ","Crossland Strategic Metals Ltd.","Measured + Indicated + Inferred","CREO",0.555802967359051
"345","Clay-Howells","Canada Rare Earth Corp.","Measured + Indicated + Inferred","CREO",0.125
"346","Dubbo Zirconia Project","Alkane Resources Ltd.","Measured + Indicated + Inferred","CREO",0.14685
"347","Eco Ridge","Pele Mountain Resources Inc.","Measured + Indicated + Inferred","CREO",0.0251068040402678
"348","Elliott Lake Teasdale","Appia Energy Corp.","Measured + Indicated + Inferred","CREO",0.0155239703433975
"349","Foxtrot","Search Minerals Inc.","Measured + Indicated + Inferred","CREO",0.1983654665687
"350","Glenover ","Galileo Resources PLC","Measured + Indicated + Inferred","CREO",0.300858288588012
"351","Hoidas Lake ","Great Western Minerals  Ltd.","Measured + Indicated + Inferred","CREO",0.446947550460093
"352","Kipawa","Matamec Explorations Inc.","Measured + Indicated + Inferred","CREO",0.070334665437788
"353","Lavergne-Springer","Canada Rare Earth Corp.","Measured + Indicated + Inferred","CREO",0.196698739570389
"354","Lofdal","Namibia Rare Earths Inc.","Measured + Indicated + Inferred","CREO",0.0753636363636364
"355","Milo","GBM Resources Ltd.","Measured + Indicated + Inferred","CREO",0.0092
"356","Montviel","Geomega Resources Inc.","Measured + Indicated + Inferred","CREO",0.249747525937749
"357","Mount Weld CLD","Lynas Corporation Ltd.","Measured + Indicated + Inferred","CREO",1.8493189261745
"358","Mount Weld Duncan","Lynas Corporation Ltd.","Measured + Indicated + Inferred","CREO",1.02969
"359","Mrima Hill High Grade","Pacific Wildcat Resources Corp.","Measured + Indicated + Inferred","CREO",1.09969940115484
"360","Mrima Hill Main","Pacific Wildcat Resources Corp.","Measured + Indicated + Inferred","CREO",0.724973774380238
"361","Nechalacho Basal","Avalon Rare Metals Inc.","Measured + Indicated + Inferred","CREO",0.322573361099542
"362","Nechalacho Upper","Avalon Rare Metals Inc.","Measured + Indicated + Inferred","CREO",0.3044965438714
"363","Ngualla","Peak Resources Ltd.","Measured + Indicated + Inferred","CREO",0.382561394871795
"364","Nolans","Arafura Resources Ltd.","Measured + Indicated + Inferred","CREO",0.560562811839324
"365","Norra Kärr","Tasman Metals Ltd.","Measured + Indicated + Inferred","CREO",0.0974512736660929
"366","Olserum","Tasman Metals Ltd.","Measured + Indicated + Inferred","CREO",0.116538461538462
"367","Round Top","Texas Rare Earth Resources Corp.","Measured + Indicated + Inferred","CREO",0.0072896589582596
"368","Sarfartoq","Hudson Resources Inc.","Measured + Indicated + Inferred","CREO",0.334809445043749
"369","Songwe Hill","Mkango Resources Ltd.","Measured + Indicated + Inferred","CREO",0.264164062620472
"370","Steenkampskraal - In Situ","Great Western Minerals  Ltd.","Measured + Indicated + Inferred","CREO",2.79809369951535
"371","Steenkampskraal - Tailings","Great Western Minerals  Ltd.","Measured + Indicated + Inferred","CREO",1.375
"372","Strange Lake Enriched","Quest Rare Minerals Ltd.","Measured + Indicated + Inferred","CREO",0.217
"373","Strange Lake Granite","Quest Rare Minerals Ltd.","Measured + Indicated + Inferred","CREO",0.145731538609699
"374","Tantalus","Tantalus Rare Earths AG","Measured + Indicated + Inferred","CREO",0.0157589351983877
"375","Two Tom","Canada Rare Earth Corp.","Measured + Indicated + Inferred","CREO",0.201
"376","Wigu Hill Twiga","Montero Mining and Exploration Ltd.","Measured + Indicated + Inferred","CREO",0.23509
"377","Xiluvo","Promac Lda.","Measured + Indicated + Inferred","CREO",0.38
"378","Yangibana ","Hastings Rare Metals Limited","Measured + Indicated + Inferred","CREO",0.366792589885125
"379","Zandkopsdrift ","Frontier Rare Earths Ltd.","Measured + Indicated + Inferred","CREO",0.389006591490113
"380","Bear Lodge","Rare Element Resources Ltd.","Proven + Probable","CREO",0.564203604240283
"381","Dubbo Zirconia Project","Alkane Resources Ltd.","Proven + Probable","CREO",0.145570595602561
"382","Kipawa","Matamec Explorations Inc.","Proven + Probable","CREO",0.0732
"383","Mount Weld CLD","Lynas Corporation Ltd.","Proven + Probable","CREO",2.24432371134021
"384","Mountain Pass","Molycorp Inc.","Proven + Probable","CREO",0.944504808583681
"385","Nechalacho Basal","Avalon Rare Metals Inc.","Proven + Probable","CREO",0.358415065726027
"386","Ngualla","Peak Resources Ltd.","Proven + Probable","CREO",0.773458173913044
"387","Norra Kärr","Tasman Metals Ltd.","Proven + Probable","CREO",0.09784
"388","Strange Lake Enriched","Quest Rare Minerals Ltd.","Proven + Probable","CREO",0.1782
"389","Araxá","MBAC Fertilizer Corp.","Measured + Indicated","MREO",1.0124137007874
"390","Ashram MHREO","Commerce Resources Corp.","Measured + Indicated","MREO",0.451528353658537
"391","Ashram Total","Commerce Resources Corp.","Measured + Indicated","MREO",0.456166267942584
"392","Bear Lodge","Rare Element Resources Ltd.","Measured + Indicated","MREO",0.808211521873074
"393","Bokan - Dotson","Ucore Rare Metals Inc.","Measured + Indicated","MREO",0.156
"394","Brockmans","Hastings Rare Metals Limited","Measured + Indicated","MREO",0.0348
"395","Browns Range","Northern Minerals Limited","Measured + Indicated","MREO",0.114856733
"396","Buckton","DNI Metals Inc.","Measured + Indicated","MREO",0.00636
"397","Charley Creek - Cattle Creek ","Crossland Strategic Metals Ltd.","Measured + Indicated","MREO",0.6832
"398","Charley Creek - Western Dam ","Crossland Strategic Metals Ltd.","Measured + Indicated","MREO",0.78568
"399","Dubbo Zirconia Project","Alkane Resources Ltd.","Measured + Indicated","MREO",0.20381
"400","Eco Ridge","Pele Mountain Resources Inc.","Measured + Indicated","MREO",0.0367
"401","Elliott Lake Teasdale","Appia Energy Corp.","Measured + Indicated","MREO",0.04421236
"402","Foxtrot","Search Minerals Inc.","Measured + Indicated","MREO",0.2745
"403","Glenover ","Galileo Resources PLC","Measured + Indicated","MREO",0.474859281
"404","Hoidas Lake ","Great Western Minerals  Ltd.","Measured + Indicated","MREO",0.627035328022489
"405","Kipawa","Matamec Explorations Inc.","Measured + Indicated","MREO",0.0974428050467368
"406","Lavergne-Springer","Canada Rare Earth Corp.","Measured + Indicated","MREO",0.282
"407","Lofdal","Namibia Rare Earths Inc.","Measured + Indicated","MREO",0.084
"408","Montviel","Geomega Resources Inc.","Measured + Indicated","MREO",0.3456
"409","Mount Weld CLD","Lynas Corporation Ltd.","Measured + Indicated","MREO",2.64666260869565
"410","Mount Weld Duncan","Lynas Corporation Ltd.","Measured + Indicated","MREO",1.377
"411","Mrima Hill High Grade","Pacific Wildcat Resources Corp.","Measured + Indicated","MREO",1.5076
"412","Mrima Hill Main","Pacific Wildcat Resources Corp.","Measured + Indicated","MREO",0.9879
"413","Nechalacho Basal","Avalon Rare Metals Inc.","Measured + Indicated","MREO",0.474676458232348
"414","Nechalacho Upper","Avalon Rare Metals Inc.","Measured + Indicated","MREO",0.4555
"415","Ngualla","Peak Resources Ltd.","Measured + Indicated","MREO",0.532964194285714
"416","Nolans","Arafura Resources Ltd.","Measured + Indicated","MREO",0.796918577075099
"417","Norra Kärr","Tasman Metals Ltd.","Measured + Indicated","MREO",0.12446
"418","Olserum","Tasman Metals Ltd.","Measured + Indicated","MREO",0.1353
"419","Round Top","Texas Rare Earth Resources Corp.","Measured + Indicated","MREO",0.00967132697042222
"420","Sarfartoq","Hudson Resources Inc.","Measured + Indicated","MREO",0.4677
"421","Songwe Hill","Mkango Resources Ltd.","Measured + Indicated","MREO",0.39765775
"422","Steenkampskraal - In Situ","Great Western Minerals  Ltd.","Measured + Indicated","MREO",4.06440071556351
"423","Steenkampskraal - Tailings","Great Western Minerals  Ltd.","Measured + Indicated","MREO",1.93
"424","Strange Lake Enriched","Quest Rare Minerals Ltd.","Measured + Indicated","MREO",0.29
"425","Strange Lake Granite","Quest Rare Minerals Ltd.","Measured + Indicated","MREO",0.201
"426","Tantalus","Tantalus Rare Earths AG","Measured + Indicated","MREO",0.022095960391532
"427","Xiluvo","Promac Lda.","Measured + Indicated","MREO",0.52
"428","Yangibana ","Hastings Rare Metals Limited","Measured + Indicated","MREO",0.519309035
"429","Zandkopsdrift ","Frontier Rare Earths Ltd.","Measured + Indicated","MREO",0.541483771
"430","Aksu Diamas","AMR Mineral Metal Inc.","Measured + Indicated + Inferred","MREO",0.01535
"431","Araxá","MBAC Fertilizer Corp.","Measured + Indicated + Inferred","MREO",0.851246058677978
"432","Ashram MHREO","Commerce Resources Corp.","Measured + Indicated + Inferred","MREO",0.445701176470588
"433","Ashram Total","Commerce Resources Corp.","Measured + Indicated + Inferred","MREO",0.453460230466554
"434","Bear Lodge","Rare Element Resources Ltd.","Measured + Indicated + Inferred","MREO",0.711916172413793
"435","Bokan - Dotson","Ucore Rare Metals Inc.","Measured + Indicated + Inferred","MREO",0.156404583248834
"436","Brockmans","Hastings Rare Metals Limited","Measured + Indicated + Inferred","MREO",0.0348
"437","Browns Range","Northern Minerals Limited","Measured + Indicated + Inferred","MREO",0.102730637477146
"438","Buckton","DNI Metals Inc.","Measured + Indicated + Inferred","MREO",0.00653903487441772
"439","Buckton South","DNI Metals Inc.","Measured + Indicated + Inferred","MREO",0.00649
"440","Charley Creek - Cattle Creek ","Crossland Strategic Metals Ltd.","Measured + Indicated + Inferred","MREO",0.698918600563754
"441","Charley Creek - Western Dam ","Crossland Strategic Metals Ltd.","Measured + Indicated + Inferred","MREO",0.753421800197824
"442","Clay-Howells","Canada Rare Earth Corp.","Measured + Indicated + Inferred","MREO",0.17
"443","Dubbo Zirconia Project","Alkane Resources Ltd.","Measured + Indicated + Inferred","MREO",0.20381
"444","Eco Ridge","Pele Mountain Resources Inc.","Measured + Indicated + Inferred","MREO",0.0359602060604017
"445","Elliott Lake Teasdale","Appia Energy Corp.","Measured + Indicated + Inferred","MREO",0.0422992034107205
"446","Foxtrot","Search Minerals Inc.","Measured + Indicated + Inferred","MREO",0.273126010286554
"447","Glenover ","Galileo Resources PLC","Measured + Indicated + Inferred","MREO",0.406187766787749
"448","Hoidas Lake ","Great Western Minerals  Ltd.","Measured + Indicated + Inferred","MREO",0.618334825865311
"449","Kipawa","Matamec Explorations Inc.","Measured + Indicated + Inferred","MREO",0.0948112
"450","Lavergne-Springer","Canada Rare Earth Corp.","Measured + Indicated + Inferred","MREO",0.268438487484467
"451","Lofdal","Namibia Rare Earths Inc.","Measured + Indicated + Inferred","MREO",0.0803636363636364
"452","Milo","GBM Resources Ltd.","Measured + Indicated + Inferred","MREO",0.0124
"453","Montviel","Geomega Resources Inc.","Measured + Indicated + Inferred","MREO",0.345227374301676
"454","Mount Weld CLD","Lynas Corporation Ltd.","Measured + Indicated + Inferred","MREO",2.54051758389262
"455","Mount Weld Duncan","Lynas Corporation Ltd.","Measured + Indicated + Inferred","MREO",1.377
"456","Mrima Hill High Grade","Pacific Wildcat Resources Corp.","Measured + Indicated + Inferred","MREO",1.50759963790758
"457","Mrima Hill Main","Pacific Wildcat Resources Corp.","Measured + Indicated + Inferred","MREO",0.987863229590317
"458","Nechalacho Basal","Avalon Rare Metals Inc.","Measured + Indicated + Inferred","MREO",0.442713186172428
"459","Nechalacho Upper","Avalon Rare Metals Inc.","Measured + Indicated + Inferred","MREO",0.42493454119223
"460","Ngualla","Peak Resources Ltd.","Measured + Indicated + Inferred","MREO",0.5214892
"461","Nolans","Arafura Resources Ltd.","Measured + Indicated + Inferred","MREO",0.763598308668076
"462","Norra Kärr","Tasman Metals Ltd.","Measured + Indicated + Inferred","MREO",0.129588915662651
"463","Olserum","Tasman Metals Ltd.","Measured + Indicated + Inferred","MREO",0.147865384615385
"464","Round Top","Texas Rare Earth Resources Corp.","Measured + Indicated + Inferred","MREO",0.00968541901421286
"465","Sarfartoq","Hudson Resources Inc.","Measured + Indicated + Inferred","MREO",0.458386275919933
"466","Songwe Hill","Mkango Resources Ltd.","Measured + Indicated + Inferred","MREO",0.361434739779528
"467","Steenkampskraal - In Situ","Great Western Minerals  Ltd.","Measured + Indicated + Inferred","MREO",3.94668820678514
"468","Steenkampskraal - Tailings","Great Western Minerals  Ltd.","Measured + Indicated + Inferred","MREO",1.93
"469","Strange Lake Enriched","Quest Rare Minerals Ltd.","Measured + Indicated + Inferred","MREO",0.29
"470","Strange Lake Granite","Quest Rare Minerals Ltd.","Measured + Indicated + Inferred","MREO",0.197824154053579
"471","Tantalus","Tantalus Rare Earths AG","Measured + Indicated + Inferred","MREO",0.021906911794929
"472","Two Tom","Canada Rare Earth Corp.","Measured + Indicated + Inferred","MREO",0.286
"473","Wigu Hill Twiga","Montero Mining and Exploration Ltd.","Measured + Indicated + Inferred","MREO",0.34199
"474","Xiluvo","Promac Lda.","Measured + Indicated + Inferred","MREO",0.52
"475","Yangibana ","Hastings Rare Metals Limited","Measured + Indicated + Inferred","MREO",0.490655565082474
"476","Zandkopsdrift ","Frontier Rare Earths Ltd.","Measured + Indicated + Inferred","MREO",0.529778719110169
"477","Bear Lodge","Rare Element Resources Ltd.","Proven + Probable","MREO",0.775711731448763
"478","Dubbo Zirconia Project","Alkane Resources Ltd.","Proven + Probable","MREO",0.202034341775675
"479","Kipawa","Matamec Explorations Inc.","Proven + Probable","MREO",0.0986
"480","Mount Weld CLD","Lynas Corporation Ltd.","Proven + Probable","MREO",3.0831587628866
"481","Mountain Pass","Molycorp Inc.","Proven + Probable","MREO",1.33252622614215
"482","Nechalacho Basal","Avalon Rare Metals Inc.","Proven + Probable","MREO",0.486468167493151
"483","Ngualla","Peak Resources Ltd.","Proven + Probable","MREO",1.0477792173913
"484","Norra Kärr","Tasman Metals Ltd.","Proven + Probable","MREO",0.12956
"485","Strange Lake Enriched","Quest Rare Minerals Ltd.","Proven + Probable","MREO",0.241
"486","Araxá","MBAC Fertilizer Corp.","Measured + Indicated","Tonnage",6350000
"487","Ashram MHREO","Commerce Resources Corp.","Measured + Indicated","Tonnage",6560000
"488","Ashram Total","Commerce Resources Corp.","Measured + Indicated","Tonnage",29260000
"489","Bear Lodge","Rare Element Resources Ltd.","Measured + Indicated","Tonnage",16230000
"490","Bokan - Dotson","Ucore Rare Metals Inc.","Measured + Indicated","Tonnage",2936000
"491","Brockmans","Hastings Rare Metals Limited","Measured + Indicated","Tonnage",27100000
"492","Browns Range","Northern Minerals Limited","Measured + Indicated","Tonnage",4690000
"493","Buckton","DNI Metals Inc.","Measured + Indicated","Tonnage",271938000
"494","Charley Creek - Cattle Creek ","Crossland Strategic Metals Ltd.","Measured + Indicated","Tonnage",249900000
"495","Charley Creek - Western Dam ","Crossland Strategic Metals Ltd.","Measured + Indicated","Tonnage",1.37e+08
"496","Dubbo Zirconia Project","Alkane Resources Ltd.","Measured + Indicated","Tonnage",35700000
"497","Eco Ridge","Pele Mountain Resources Inc.","Measured + Indicated","Tonnage",22743000
"498","Elliott Lake Teasdale","Appia Energy Corp.","Measured + Indicated","Tonnage",13095000
"499","Foxtrot","Search Minerals Inc.","Measured + Indicated","Tonnage",3423000
"500","Glenover ","Galileo Resources PLC","Measured + Indicated","Tonnage",16781000
"501","Hoidas Lake ","Great Western Minerals  Ltd.","Measured + Indicated","Tonnage",2529918
"502","Kipawa","Matamec Explorations Inc.","Measured + Indicated","Tonnage",23857000
"503","Lavergne-Springer","Canada Rare Earth Corp.","Measured + Indicated","Tonnage",4167000
"504","Lofdal","Namibia Rare Earths Inc.","Measured + Indicated","Tonnage",9e+05
"505","Montviel","Geomega Resources Inc.","Measured + Indicated","Tonnage",183900000
"506","Mount Weld CLD","Lynas Corporation Ltd.","Measured + Indicated","Tonnage",13800000
"507","Mount Weld Duncan","Lynas Corporation Ltd.","Measured + Indicated","Tonnage",8424000
"508","Mrima Hill High Grade","Pacific Wildcat Resources Corp.","Measured + Indicated","Tonnage",11200000
"509","Mrima Hill Main","Pacific Wildcat Resources Corp.","Measured + Indicated","Tonnage",48700000
"510","Nechalacho Basal","Avalon Rare Metals Inc.","Measured + Indicated","Tonnage",61890000
"511","Nechalacho Upper","Avalon Rare Metals Inc.","Measured + Indicated","Tonnage",47210000
"512","Ngualla","Peak Resources Ltd.","Measured + Indicated","Tonnage",1.75e+08
"513","Nolans","Arafura Resources Ltd.","Measured + Indicated","Tonnage",25300000
"514","Norra Kärr","Tasman Metals Ltd.","Measured + Indicated","Tonnage",41600000
"515","Olserum","Tasman Metals Ltd.","Measured + Indicated","Tonnage",4500000
"516","Round Top","Texas Rare Earth Resources Corp.","Measured + Indicated","Tonnage",479752000
"517","Sarfartoq","Hudson Resources Inc.","Measured + Indicated","Tonnage",5884000
"518","Songwe Hill","Mkango Resources Ltd.","Measured + Indicated","Tonnage",13160000
"519","Steenkampskraal - In Situ","Great Western Minerals  Ltd.","Measured + Indicated","Tonnage",559000
"520","Steenkampskraal - Tailings","Great Western Minerals  Ltd.","Measured + Indicated","Tonnage",46000
"521","Strange Lake Enriched","Quest Rare Minerals Ltd.","Measured + Indicated","Tonnage",20020000
"522","Strange Lake Granite","Quest Rare Minerals Ltd.","Measured + Indicated","Tonnage",258108000
"523","Tantalus","Tantalus Rare Earths AG","Measured + Indicated","Tonnage",197685000
"524","Xiluvo","Promac Lda.","Measured + Indicated","Tonnage",1111099
"525","Yangibana ","Hastings Rare Metals Limited","Measured + Indicated","Tonnage",3960000
"526","Zandkopsdrift ","Frontier Rare Earths Ltd.","Measured + Indicated","Tonnage",32350000
"527","Aksu Diamas","AMR Mineral Metal Inc.","Measured + Indicated + Inferred","Tonnage",4.94e+08
"528","Araxá","MBAC Fertilizer Corp.","Measured + Indicated + Inferred","Tonnage",28290000
"529","Ashram MHREO","Commerce Resources Corp.","Measured + Indicated + Inferred","Tonnage",9350000
"530","Ashram Total","Commerce Resources Corp.","Measured + Indicated + Inferred","Tonnage",249060000
"531","Bear Lodge","Rare Element Resources Ltd.","Measured + Indicated + Inferred","Tonnage",5.8e+07
"532","Bokan - Dotson","Ucore Rare Metals Inc.","Measured + Indicated + Inferred","Tonnage",4931000
"533","Brockmans","Hastings Rare Metals Limited","Measured + Indicated + Inferred","Tonnage",36200000
"534","Browns Range","Northern Minerals Limited","Measured + Indicated + Inferred","Tonnage",8970000
"535","Buckton","DNI Metals Inc.","Measured + Indicated + Inferred","Tonnage",4712050000
"536","Buckton South","DNI Metals Inc.","Measured + Indicated + Inferred","Tonnage",496698000
"537","Charley Creek - Cattle Creek ","Crossland Strategic Metals Ltd.","Measured + Indicated + Inferred","Tonnage",603100000
"538","Charley Creek - Western Dam ","Crossland Strategic Metals Ltd.","Measured + Indicated + Inferred","Tonnage",202200000
"539","Clay-Howells","Canada Rare Earth Corp.","Measured + Indicated + Inferred","Tonnage",8477000
"540","Dubbo Zirconia Project","Alkane Resources Ltd.","Measured + Indicated + Inferred","Tonnage",73200000
"541","Eco Ridge","Pele Mountain Resources Inc.","Measured + Indicated + Inferred","Tonnage",59303000
"542","Elliott Lake Teasdale","Appia Energy Corp.","Measured + Indicated + Inferred","Tonnage",51602000
"543","Foxtrot","Search Minerals Inc.","Measured + Indicated + Inferred","Tonnage",4083000
"544","Glenover ","Galileo Resources PLC","Measured + Indicated + Inferred","Tonnage",28928000
"545","Hoidas Lake ","Great Western Minerals  Ltd.","Measured + Indicated + Inferred","Tonnage",2797260
"546","Kipawa","Matamec Explorations Inc.","Measured + Indicated + Inferred","Tonnage",27125000
"547","Lavergne-Springer","Canada Rare Earth Corp.","Measured + Indicated + Inferred","Tonnage",16899000
"548","Lofdal","Namibia Rare Earths Inc.","Measured + Indicated + Inferred","Tonnage",1650000
"549","Milo","GBM Resources Ltd.","Measured + Indicated + Inferred","Tonnage",1.76e+08
"550","Montviel","Geomega Resources Inc.","Measured + Indicated + Inferred","Tonnage",250600000
"551","Mount Weld CLD","Lynas Corporation Ltd.","Measured + Indicated + Inferred","Tonnage",14900000
"552","Mount Weld Duncan","Lynas Corporation Ltd.","Measured + Indicated + Inferred","Tonnage",8993000
"553","Mrima Hill High Grade","Pacific Wildcat Resources Corp.","Measured + Indicated + Inferred","Tonnage",11201560
"554","Mrima Hill Main","Pacific Wildcat Resources Corp.","Measured + Indicated + Inferred","Tonnage",48711070
"555","Nechalacho Basal","Avalon Rare Metals Inc.","Measured + Indicated + Inferred","Tonnage",120050000
"556","Nechalacho Upper","Avalon Rare Metals Inc.","Measured + Indicated + Inferred","Tonnage",149300000
"557","Ngualla","Peak Resources Ltd.","Measured + Indicated + Inferred","Tonnage",1.95e+08
"558","Nolans","Arafura Resources Ltd.","Measured + Indicated + Inferred","Tonnage",47300000
"559","Norra Kärr","Tasman Metals Ltd.","Measured + Indicated + Inferred","Tonnage",58100000
"560","Olserum","Tasman Metals Ltd.","Measured + Indicated + Inferred","Tonnage",7800000
"561","Round Top","Texas Rare Earth Resources Corp.","Measured + Indicated + Inferred","Tonnage",821650000
"562","Sarfartoq","Hudson Resources Inc.","Measured + Indicated + Inferred","Tonnage",8343000
"563","Songwe Hill","Mkango Resources Ltd.","Measured + Indicated + Inferred","Tonnage",31750000
"564","Steenkampskraal - In Situ","Great Western Minerals  Ltd.","Measured + Indicated + Inferred","Tonnage",619000
"565","Steenkampskraal - Tailings","Great Western Minerals  Ltd.","Measured + Indicated + Inferred","Tonnage",46000
"566","Strange Lake Enriched","Quest Rare Minerals Ltd.","Measured + Indicated + Inferred","Tonnage",20020000
"567","Strange Lake Granite","Quest Rare Minerals Ltd.","Measured + Indicated + Inferred","Tonnage",472459000
"568","Tantalus","Tantalus Rare Earths AG","Measured + Indicated + Inferred","Tonnage",627685000
"569","Two Tom","Canada Rare Earth Corp.","Measured + Indicated + Inferred","Tonnage",40635
"570","Wigu Hill Twiga","Montero Mining and Exploration Ltd.","Measured + Indicated + Inferred","Tonnage",1930000
"571","Xiluvo","Promac Lda.","Measured + Indicated + Inferred","Tonnage",1111099
"572","Yangibana ","Hastings Rare Metals Limited","Measured + Indicated + Inferred","Tonnage",6790000
"573","Zandkopsdrift ","Frontier Rare Earths Ltd.","Measured + Indicated + Inferred","Tonnage",42480000
"574","Bear Lodge","Rare Element Resources Ltd.","Proven + Probable","Tonnage",14150000
"575","Dubbo Zirconia Project","Alkane Resources Ltd.","Proven + Probable","Tonnage",35930000
"576","Kipawa","Matamec Explorations Inc.","Proven + Probable","Tonnage",19769000
"577","Mount Weld CLD","Lynas Corporation Ltd.","Proven + Probable","Tonnage",9700000
"578","Mountain Pass","Molycorp Inc.","Proven + Probable","Tonnage",16713063
"579","Nechalacho Basal","Avalon Rare Metals Inc.","Proven + Probable","Tonnage",14600000
"580","Ngualla","Peak Resources Ltd.","Proven + Probable","Tonnage",20700000
"581","Norra Kärr","Tasman Metals Ltd.","Proven + Probable","Tonnage",23571000
"582","Strange Lake Enriched","Quest Rare Minerals Ltd.","Proven + Probable","Tonnage",43199000
"583","Araxá","MBAC Fertilizer Corp.","Measured + Indicated","HoT",0.0155081270247509
"584","Ashram MHREO","Commerce Resources Corp.","Measured + Indicated","HoT",0.0571754642196644
"585","Ashram Total","Commerce Resources Corp.","Measured + Indicated","HoT",0.0301647414804837
"586","Bear Lodge","Rare Element Resources Ltd.","Measured + Indicated","HoT",0.0177011844143513
"587","Bokan - Dotson","Ucore Rare Metals Inc.","Measured + Indicated","HoT",0.364227642276423
