"","Project","Owner.s.","Confidence","variable","value"
"61","Kipawa","Matamec Explorations Inc.","Measured + Indicated + Inferred","TREO",0.371582853456221
"62","Lavergne-Springer","Canada Rare Earth Corp.","Measured + Indicated + Inferred","TREO",1.1633559382212
"63","Lofdal","Namibia Rare Earths Inc.","Measured + Indicated + Inferred","TREO",0.591454545454545
"64","Milo","GBM Resources Ltd.","Measured + Indicated + Inferred","TREO",0.0605
"65","Montviel","Geomega Resources Inc.","Measured + Indicated + Inferred","TREO",1.45463651237031
"66","Mount Weld CLD","Lynas Corporation Ltd.","Measured + Indicated + Inferred","TREO",9.60911140939597
"67","Mount Weld Duncan","Lynas Corporation Ltd.","Measured + Indicated + Inferred","TREO",5.10102
"68","Mrima Hill High Grade","Pacific Wildcat Resources Corp.","Measured + Indicated + Inferred","TREO",6.93922537432286
"69","Mrima Hill Main","Pacific Wildcat Resources Corp.","Measured + Indicated + Inferred","TREO",4.40811885232659
"70","Nechalacho Basal","Avalon Rare Metals Inc.","Measured + Indicated + Inferred","TREO",1.51676369845898
"71","Nechalacho Upper","Avalon Rare Metals Inc.","Measured + Indicated + Inferred","TREO",1.422228158071
"72","Ngualla","Peak Resources Ltd.","Measured + Indicated + Inferred","TREO",2.26635897435897
"73","Nolans","Arafura Resources Ltd.","Measured + Indicated + Inferred","TREO",2.58263587737844
"74","Norra Kärr","Tasman Metals Ltd.","Measured + Indicated + Inferred","TREO",0.587688158347676
"75","Olserum","Tasman Metals Ltd.","Measured + Indicated + Inferred","TREO",0.599980769230769
"76","Round Top","Texas Rare Earth Resources Corp.","Measured + Indicated + Inferred","TREO",0.0632041041284683
"77","Sarfartoq","Hudson Resources Inc.","Measured + Indicated + Inferred","TREO",1.71760819848975
"78","Songwe Hill","Mkango Resources Ltd.","Measured + Indicated + Inferred","TREO",1.47770147908157
"79","Steenkampskraal - In Situ","Great Western Minerals  Ltd.","Measured + Indicated + Inferred","TREO",14.5111615508885
"80","Steenkampskraal - Tailings","Great Western Minerals  Ltd.","Measured + Indicated + Inferred","TREO",7.172
"81","Strange Lake Enriched","Quest Rare Minerals Ltd.","Measured + Indicated + Inferred","TREO",1.441
"82","Strange Lake Granite","Quest Rare Minerals Ltd.","Measured + Indicated + Inferred","TREO",0.871583847487295
"83","Tantalus","Tantalus Rare Earths AG","Measured + Indicated + Inferred","TREO",0.0895089502059154
"84","Two Tom","Canada Rare Earth Corp.","Measured + Indicated + Inferred","TREO",1.182
"85","Wigu Hill Twiga","Montero Mining and Exploration Ltd.","Measured + Indicated + Inferred","TREO",2.67519
"86","Xiluvo","Promac Lda.","Measured + Indicated + Inferred","TREO",2.03
"87","Yangibana ","Hastings Rare Metals Limited","Measured + Indicated + Inferred","TREO",1.52331366577025
"88","Zandkopsdrift ","Frontier Rare Earths Ltd.","Measured + Indicated + Inferred","TREO",2.23465160197057
"89","Bear Lodge","Rare Element Resources Ltd.","Proven + Probable","TREO",2.95112946996466
"90","Dubbo Zirconia Project","Alkane Resources Ltd.","Proven + Probable","TREO",0.882246033954912
"91","Kipawa","Matamec Explorations Inc.","Proven + Probable","TREO",0.4104
"92","Mount Weld CLD","Lynas Corporation Ltd.","Proven + Probable","TREO",11.6615670103093
"93","Mountain Pass","Molycorp Inc.","Proven + Probable","TREO",7.97918939728259
"94","Nechalacho Basal","Avalon Rare Metals Inc.","Proven + Probable","TREO",1.70050498128082
"95","Ngualla","Peak Resources Ltd.","Proven + Probable","TREO",4.54355582608696
"96","Norra Kärr","Tasman Metals Ltd.","Proven + Probable","TREO",0.59211
"97","Strange Lake Enriched","Quest Rare Minerals Ltd.","Proven + Probable","TREO",1.1621
"98","Araxá","MBAC Fertilizer Corp.","Measured + Indicated","HREO",0.0774815748031496
"99","Ashram MHREO","Commerce Resources Corp.","Measured + Indicated","HREO",0.0934164634146342
"100","Ashram Total","Commerce Resources Corp.","Measured + Indicated","HREO",0.0571867395762133
"101","Bear Lodge","Rare Element Resources Ltd.","Measured + Indicated","HREO",0.054481269254467
"102","Bokan - Dotson","Ucore Rare Metals Inc.","Measured + Indicated","HREO",0.224
"103","Brockmans","Hastings Rare Metals Limited","Measured + Indicated","HREO",0.1725
"104","Browns Range","Northern Minerals Limited","Measured + Indicated","HREO",0.54890772
"105","Buckton","DNI Metals Inc.","Measured + Indicated","HREO",0.0055
"106","Charley Creek - Cattle Creek ","Crossland Strategic Metals Ltd.","Measured + Indicated","HREO",0.5152
"107","Charley Creek - Western Dam ","Crossland Strategic Metals Ltd.","Measured + Indicated","HREO",0.59248
"108","Dubbo Zirconia Project","Alkane Resources Ltd.","Measured + Indicated","HREO",0.1869
"109","Eco Ridge","Pele Mountain Resources Inc.","Measured + Indicated","HREO",0.0116
"110","Elliott Lake Teasdale","Appia Energy Corp.","Measured + Indicated","HREO",0.01117517
"111","Foxtrot","Search Minerals Inc.","Measured + Indicated","HREO",0.1819
"112","Glenover ","Galileo Resources PLC","Measured + Indicated","HREO",0.055907059
"113","Hoidas Lake ","Great Western Minerals  Ltd.","Measured + Indicated","HREO",0.0350812741756847
"114","Kipawa","Matamec Explorations Inc.","Measured + Indicated","HREO",0.134861847675735
"115","Lavergne-Springer","Canada Rare Earth Corp.","Measured + Indicated","HREO",0.046
"116","Lofdal","Namibia Rare Earths Inc.","Measured + Indicated","HREO",0.499
"117","Montviel","Geomega Resources Inc.","Measured + Indicated","HREO",0.0114
"118","Mount Weld CLD","Lynas Corporation Ltd.","Measured + Indicated","HREO",0.0634473913043478
"119","Mount Weld Duncan","Lynas Corporation Ltd.","Measured + Indicated","HREO",0.38454
"120","Mrima Hill High Grade","Pacific Wildcat Resources Corp.","Measured + Indicated","HREO",0.277
"121","Mrima Hill Main","Pacific Wildcat Resources Corp.","Measured + Indicated","HREO",0.2623
"122","Nechalacho Basal","Avalon Rare Metals Inc.","Measured + Indicated","HREO",0.289894102439813
"123","Nechalacho Upper","Avalon Rare Metals Inc.","Measured + Indicated","HREO",0.1065
"124","Ngualla","Peak Resources Ltd.","Measured + Indicated","HREO",0.0187614514285714
"125","Nolans","Arafura Resources Ltd.","Measured + Indicated","HREO",0.0526700395256917
"126","Norra Kärr","Tasman Metals Ltd.","Measured + Indicated","HREO",0.26909
"127","Olserum","Tasman Metals Ltd.","Measured + Indicated","HREO",0.184
"128","Round Top","Texas Rare Earth Resources Corp.","Measured + Indicated","HREO",0.0447521507394821
"129","Sarfartoq","Hudson Resources Inc.","Measured + Indicated","HREO",0.0116
"130","Songwe Hill","Mkango Resources Ltd.","Measured + Indicated","HREO",0.083525379
"131","Steenkampskraal - In Situ","Great Western Minerals  Ltd.","Measured + Indicated","HREO",0.883289803220036
"132","Steenkampskraal - Tailings","Great Western Minerals  Ltd.","Measured + Indicated","HREO",0.457
"133","Strange Lake Enriched","Quest Rare Minerals Ltd.","Measured + Indicated","HREO",0.675
"134","Strange Lake Granite","Quest Rare Minerals Ltd.","Measured + Indicated","HREO",0.314
"135","Tantalus","Tantalus Rare Earths AG","Measured + Indicated","HREO",0.0148327038470294
"136","Xiluvo","Promac Lda.","Measured + Indicated","HREO",0.11
"137","Yangibana ","Hastings Rare Metals Limited","Measured + Indicated","HREO",0.016714254
"138","Zandkopsdrift ","Frontier Rare Earths Ltd.","Measured + Indicated","HREO",0.132519321
"139","Aksu Diamas","AMR Mineral Metal Inc.","Measured + Indicated + Inferred","HREO",0.005161
"140","Araxá","MBAC Fertilizer Corp.","Measured + Indicated + Inferred","HREO",0.0694302580417109
"141","Ashram MHREO","Commerce Resources Corp.","Measured + Indicated + Inferred","HREO",0.0918300534759358
"142","Ashram Total","Commerce Resources Corp.","Measured + Indicated + Inferred","HREO",0.0462552156106962
"143","Bear Lodge","Rare Element Resources Ltd.","Measured + Indicated + Inferred","HREO",0.0554237810344828
"144","Bokan - Dotson","Ucore Rare Metals Inc.","Measured + Indicated + Inferred","HREO",0.219954167511661
"145","Brockmans","Hastings Rare Metals Limited","Measured + Indicated + Inferred","HREO",0.1725
"146","Browns Range","Northern Minerals Limited","Measured + Indicated + Inferred","HREO",0.495701141913043
"147","Buckton","DNI Metals Inc.","Measured + Indicated + Inferred","HREO",0.00563192043378147
"148","Buckton South","DNI Metals Inc.","Measured + Indicated + Inferred","HREO",0.0056
"149","Charley Creek - Cattle Creek ","Crossland Strategic Metals Ltd.","Measured + Indicated + Inferred","HREO",0.527053370916929
"150","Charley Creek - Western Dam ","Crossland Strategic Metals Ltd.","Measured + Indicated + Inferred","HREO",0.568154144411474
"151","Clay-Howells","Canada Rare Earth Corp.","Measured + Indicated + Inferred","HREO",0.054
"152","Dubbo Zirconia Project","Alkane Resources Ltd.","Measured + Indicated + Inferred","HREO",0.1869
"153","Eco Ridge","Pele Mountain Resources Inc.","Measured + Indicated + Inferred","HREO",0.0115383505050335
"154","Elliott Lake Teasdale","Appia Energy Corp.","Measured + Indicated + Inferred","HREO",0.0107379235448238
"155","Foxtrot","Search Minerals Inc.","Measured + Indicated + Inferred","HREO",0.180962454077884
"156","Glenover ","Galileo Resources PLC","Measured + Indicated + Inferred","HREO",0.0487012090087113
"157","Hoidas Lake ","Great Western Minerals  Ltd.","Measured + Indicated + Inferred","HREO",0.0355513706269707
"158","Kipawa","Matamec Explorations Inc.","Measured + Indicated + Inferred","HREO",0.129926794470046
"159","Lavergne-Springer","Canada Rare Earth Corp.","Measured + Indicated + Inferred","HREO",0.036958991656311
"160","Lofdal","Namibia Rare Earths Inc.","Measured + Indicated + Inferred","HREO",0.474454545454545
"161","Milo","GBM Resources Ltd.","Measured + Indicated + Inferred","HREO",0.0065
"162","Montviel","Geomega Resources Inc.","Measured + Indicated + Inferred","HREO",0.0116927773343974
"163","Mount Weld CLD","Lynas Corporation Ltd.","Measured + Indicated + Inferred","HREO",0.0609028187919463
"164","Mount Weld Duncan","Lynas Corporation Ltd.","Measured + Indicated + Inferred","HREO",0.38454
"165","Mrima Hill High Grade","Pacific Wildcat Resources Corp.","Measured + Indicated + Inferred","HREO",0.277006016304872
"166","Mrima Hill Main","Pacific Wildcat Resources Corp.","Measured + Indicated + Inferred","HREO",0.2623025907458
"167","Nechalacho Basal","Avalon Rare Metals Inc.","Measured + Indicated + Inferred","HREO",0.251527346938775
"168","Nechalacho Upper","Avalon Rare Metals Inc.","Measured + Indicated + Inferred","HREO",0.0971320629604822
"169","Ngualla","Peak Resources Ltd.","Measured + Indicated + Inferred","HREO",0.0183575076923077
"170","Nolans","Arafura Resources Ltd.","Measured + Indicated + Inferred","HREO",0.0594281606765328
"171","Norra Kärr","Tasman Metals Ltd.","Measured + Indicated + Inferred","HREO",0.274934578313253
"172","Olserum","Tasman Metals Ltd.","Measured + Indicated + Inferred","HREO",0.182307692307692
"173","Round Top","Texas Rare Earth Resources Corp.","Measured + Indicated + Inferred","HREO",0.0445948319956234
"174","Sarfartoq","Hudson Resources Inc.","Measured + Indicated + Inferred","HREO",0.0115115785688601
"175","Songwe Hill","Mkango Resources Ltd.","Measured + Indicated + Inferred","HREO",0.0789218884097638
"176","Steenkampskraal - In Situ","Great Western Minerals  Ltd.","Measured + Indicated + Inferred","HREO",0.857187399030695
"177","Steenkampskraal - Tailings","Great Western Minerals  Ltd.","Measured + Indicated + Inferred","HREO",0.457
"178","Strange Lake Enriched","Quest Rare Minerals Ltd.","Measured + Indicated + Inferred","HREO",0.675
"179","Strange Lake Granite","Quest Rare Minerals Ltd.","Measured + Indicated + Inferred","HREO",0.294944924321476
"180","Tantalus","Tantalus Rare Earths AG","Measured + Indicated + Inferred","HREO",0.0135223926969738
"181","Two Tom","Canada Rare Earth Corp.","Measured + Indicated + Inferred","HREO",0.052
"182","Wigu Hill Twiga","Montero Mining and Exploration Ltd.","Measured + Indicated + Inferred","HREO",0.00759
"183","Xiluvo","Promac Lda.","Measured + Indicated + Inferred","HREO",0.11
"184","Yangibana ","Hastings Rare Metals Limited","Measured + Indicated + Inferred","HREO",0.0159527676863034
"185","Zandkopsdrift ","Frontier Rare Earths Ltd.","Measured + Indicated + Inferred","HREO",0.12963747693291
"186","Bear Lodge","Rare Element Resources Ltd.","Proven + Probable","HREO",0.0544997879858657
"187","Dubbo Zirconia Project","Alkane Resources Ltd.","Proven + Probable","HREO",0.185271667130532
"188","Kipawa","Matamec Explorations Inc.","Proven + Probable","HREO",0.1368
"189","Mount Weld CLD","Lynas Corporation Ltd.","Proven + Probable","HREO",0.0739113402061856
"190","Mountain Pass","Molycorp Inc.","Proven + Probable","HREO",0.00958077574218442
"191","Nechalacho Basal","Avalon Rare Metals Inc.","Proven + Probable","HREO",0.385567760075342
"192","Ngualla","Peak Resources Ltd.","Proven + Probable","HREO",0.0172586086956522
"193","Norra Kärr","Tasman Metals Ltd.","Proven + Probable","HREO",0.29253
"194","Strange Lake Enriched","Quest Rare Minerals Ltd.","Proven + Probable","HREO",0.4984
"195","Araxá","MBAC Fertilizer Corp.","Measured + Indicated","LREO",4.91871007874016
